n;swaps;comparisons
82100;230071;998064
82200;230326;999316
82300;230740;1000496
82400;230977;1001587
82500;231095;1002802
82600;231451;1004132
82700;231700;1005808
82800;232060;1006951
82900;232285;1007809
83000;232633;1008722
83100;232825;1010413
83200;232952;1011197
83300;233416;1012576
83400;233526;1014105
83500;233940;1015035
83600;234177;1016036
83700;234504;1017533
83800;234618;1019252
83900;234944;1020374
84000;235145;1021117
84100;235491;1022407
84200;235834;1023825
84300;236075;1024805
84400;236313;1025832
84500;236682;1027538
84600;236889;1028556
84700;237182;1030098
84800;237503;1031080
84900;237702;1032126
85000;238019;1033448
85100;238346;1034480
85200;238524;1036286
85300;238832;1036906
85400;239043;1038332
85500;239521;1039854
85600;239660;1040680
85700;239794;1041743
85800;240276;1043352
85900;240354;1044408
86000;240727;1045994
86100;241204;1047159
86200;241159;1047487
86300;241600;1048756
86400;241847;1050575
86500;242169;1052088
86600;242513;1053200
86700;242615;1054335
86800;242943;1055669
86900;243266;1056569
87000;243346;1058117
87100;243718;1059173
87200;244115;1060258
87300;244106;1061681
87400;244539;1062551
87500;244788;1063664
87600;245146;1065146
87700;245513;1066341
87800;245626;1067778
87900;246135;1069303
88000;246353;1070087
88100;246347;1071374
88200;246798;1072770
88300;247083;1074085
88400;247322;1074947
88500;247744;1076435
88600;247929;1077877
88700;248049;1078622
88800;248509;1080152
88900;248759;1081344
89000;248874;1082002
89100;249191;1083114
89200;249469;1084811
89300;249684;1085638
89400;250216;1087642
89500;250183;1088222
89600;250555;1089491
89700;250930;1091324
89800;251097;1091977
89900;251375;1093282
90000;251677;1094420
90100;252019;1095969
90200;252155;1097299
90300;252650;1097926
90400;252785;1099581
90500;253308;1101258
90600;253419;1101886
90700;253659;1102934
90800;253831;1104351
90900;254202;1105554
91000;254455;1106737
91100;254625;1107814
91200;254967;1108965
91300;255147;1110241
91400;255679;1111757
91500;255650;1112749
91600;256144;1113972
91700;256388;1115574
91800;256744;1116084
91900;257101;1118005
92000;257188;1118363
92100;257376;1120106
92200;257760;1121641
92300;258026;1122948
92400;258411;1124173
92500;258640;1125241
92600;258810;1126651
92700;259131;1127800
92800;259483;1128682
92900;259678;1130135
93000;260062;1131549
93100;260211;1132154
93200;260548;1133676
93300;260860;1135115
93400;261120;1135988
93500;261396;1137588
93600;261566;1138297
93700;261757;1139723
93800;262043;1140971
93900;262387;1141827
94000;262710;1144099
94100;262901;1144822
94200;263209;1145556
94300;263531;1147136
94400;263613;1148478
94500;264166;1149401
94600;264351;1150745
94700;264632;1152202
94800;265022;1153341
94900;265273;1154645
95000;265457;1155586
95100;265733;1157372
95200;266072;1158022
95300;266172;1159012
95400;266584;1160388
95500;266808;1161656
95600;267178;1163233
95700;267317;1164606
95800;267454;1165013
95900;267863;1166824
96000;268396;1168178
96100;268436;1168924
96200;268871;1170657
96300;269018;1171366
96400;269397;1172734
96500;269768;1174156
96600;269718;1174962
96700;270004;1176338
96800;270464;1177824
96900;270685;1179063
97000;270896;1180484
97100;271087;1181237
97200;271479;1182715
97300;271859;1183721
97400;271967;1185224
97500;272367;1186186
97600;272489;1187043
97700;272832;1188311
97800;273105;1189612
97900;273604;1191094
98000;273588;1192392
98100;273939;1193724
98200;274308;1195474
98300;274508;1195932
98400;274799;1197180
98500;274940;1198409
98600;275097;1199614
98700;275525;1201332
98800;275958;1202145
98900;276038;1202966
99000;276463;1204982
99100;276727;1206692
99200;276850;1207106
99300;277305;1207877
99400;277326;1208817
99500;277867;1210489
99600;278021;1211398
99700;278330;1212774
99800;278560;1214596
99900;279050;1215799
100000;279141;1216599
