n;OSSelect;Select;RandSelect
953;124.68;19369;2980
954;133.17;17024;2686
955;137.34;16612;2870
956;125.99;14326;2722
957;125.11;13196;2683
958;123.59;12970;2792
959;130.31;13336;2901
960;113.79;13405;2788
961;128.99;14407;2784
962;129.0;13609;2865
963;121.11;14326;2765
964;125.0;14602;2813
965;131.1;14271;2895
966;117.24;14283;2767
967;125.31;14652;3070
968;123.53;14137;2873
969;120.25;13918;2879
970;127.7;15509;2668
971;126.3;13182;3024
972;125.54;16085;2902
973;123.64;15782;2856
974;125.52;15846;2723
975;118.86;16288;2931
976;126.01;16420;2769
977;144.97;16221;2905
978;118.44;16034;2859
979;134.4;16789;2895
980;128.01;16455;2924
981;126.93;17108;2982
982;126.47;17998;3050
983;130.44;17398;2871
984;130.46;18465;2935
985;114.52;18645;3026
986;125.83;17433;2972
987;128.01;18238;2809
988;121.26;18202;2837
989;131.67;19110;2864
990;134.99;17740;3111
991;122.77;17947;2826
992;143.11;16426;3012
993;130.94;17287;2889
994;124.34;16473;3018
995;134.61;16740;2903
996;144.7;16432;2894
997;136.64;18185;3077
998;124.42;17654;2985
999;132.18;18206;2961
